R-RMNY,PAGE,URL
0988-RMNY-0353,0115,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_124.html
0990-RMNY-0353,0181,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_189.html
0993-RMNY-0353,0235,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_244.html
0996-RMNY-0353,0052,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_423.html
1002-RMNY-0353,0113,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_485.html
1015-RMNY-0348,0000,http://mek.oszk.hu/12000/12046/html/RMK_I_0109_0001.html
1017-RMNY-0353,0041,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_413.html
1022-RMNY-0353,0295,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_303.html
1024-RMNY-0357,0027,http://mek.oszk.hu/12400/12441/html/RMK_1_0355c_0004.html
1031-RMNY-0353,0090,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_462.html
1042-RMNY-0353,0100,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_471.html
1065-RMNY-0468,0000,http://mek.oszk.hu/12000/12027/html/RMK_I_0174_0001.html
1065-RMNY-0351,0088,http://mek.oszk.hu/12500/12523/html/RMK_I_0112_0094.html
1066-RMNY-0353,0216,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_225.html
0448-RMNY-0353,0190,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_198.html
0698-RMNY-0353,0147,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_155.html
0719-RMNY-0353,0024,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_395.html
0790-RMNY-0353,0283,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_291.html
0925-RMNY-0353,0060,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_432.html
0817-RMNY-0353,0279,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_288.html
1114-RMNY-0353,0111,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_119.html
1117-RMNY-0353,0236,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_245.html
1120-RMNY-0353,0065,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_073.html
1121-RMNY-0353,0111,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_484.html
1122-RMNY-0353,0048,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_057.html
1126-RMNY-0353,0003,http://mek.oszk.hu/08800/08838/html/hu_b1_rmk-1-113a_373.html
